id,b_idx1,b_idx2,b_alpha,b_t,f_idx1,f_idx2,f_alpha,f_t,trans,dir
0,107,0,0.000000,0.000000,107,807,0.079526,0.200000,0.454410,1
1,107,0,0.000000,0.000000,107,764,0.081379,0.200000,0.354843,4
2,107,0,0.000000,0.000000,107,654,0.166893,0.200000,0.411570,2
3,107,0,0.000000,0.000000,107,256,0.175984,0.200000,0.250526,2
4,107,0,0.000000,0.000000,107,528,0.213060,0.200000,0.299506,2
5,107,0,0.000000,0.000000,107,268,0.325470,0.200000,0.294211,1
6,107,0,0.000000,0.000000,107,462,0.003700,0.200000,0.333860,4
7,107,0,0.000000,0.000000,107,389,0.267667,0.200000,0.442311,4
8,107,0,0.000000,0.000000,107,997,0.061709,0.200000,0.383416,4
9,107,0,0.000000,0.000000,107,177,0.201668,0.200000,0.345513,2
10,107,0,0.000000,0.000000,107,565,0.288501,0.200000,0.270007,1
11,107,0,0.000000,0.000000,107,144,0.096502,0.200000,0.472372,1
12,107,0,0.000000,0.000000,107,798,0.125475,0.200000,0.416463,3
13,107,0,0.000000,0.000000,107,325,0.335192,0.200000,0.242330,1
14,107,0,0.000000,0.000000,107,785,0.206764,0.200000,0.342482,3
15,107,0,0.000000,0.000000,107,860,0.172931,0.200000,0.444384,2
16,107,0,0.000000,0.000000,107,178,0.124169,0.200000,0.356385,1
17,107,0,0.000000,0.000000,107,670,0.311185,0.200000,0.212901,3
18,107,0,0.000000,0.000000,107,784,0.233839,0.200000,0.226519,1
19,107,0,0.000000,0.000000,107,678,0.082742,0.200000,0.222763,1
20,107,0,0.000000,0.000000,107,214,0.070071,0.200000,0.223739,3
21,107,0,0.000000,0.000000,107,393,0.015123,0.200000,0.206051,2
22,107,0,0.000000,0.000000,107,170,0.124571,0.200000,0.315824,3
23,107,0,0.000000,0.000000,107,403,0.057908,0.200000,0.263959,1
24,107,0,0.000000,0.000000,107,979,0.327417,0.200000,0.486226,1
25,107,0,0.000000,0.000000,107,269,0.125738,0.200000,0.428021,2
26,107,0,0.000000,0.000000,107,417,0.035030,0.200000,0.271170,1
27,107,0,0.000000,0.000000,107,84,0.173995,0.200000,0.226768,4
28,107,0,0.000000,0.000000,107,492,0.180667,0.200000,0.459317,4
29,107,0,0.000000,0.000000,107,496,0.154692,0.200000,0.308310,3
30,107,0,0.000000,0.000000,107,108,0.131873,0.200000,0.464626,3
31,107,0,0.000000,0.000000,107,900,0.269961,0.200000,0.458103,4
32,107,0,0.000000,0.000000,107,966,0.317387,0.200000,0.464847,3
33,107,0,0.000000,0.000000,107,875,0.286395,0.200000,0.498580,4
34,107,0,0.000000,0.000000,107,65,0.056526,0.200000,0.484028,1
35,107,0,0.000000,0.000000,107,986,0.286341,0.200000,0.421927,1
36,107,0,0.000000,0.000000,107,588,0.127351,0.200000,0.238363,1
37,107,0,0.000000,0.000000,107,122,0.253971,0.200000,0.448888,4
38,107,0,0.000000,0.000000,107,671,0.250008,0.200000,0.499074,2
39,107,0,0.000000,0.000000,107,618,0.073380,0.200000,0.403188,3
40,107,0,0.000000,0.000000,107,537,0.106373,0.200000,0.206941,4
41,107,0,0.000000,0.000000,107,210,0.293868,0.200000,0.264299,3
42,107,0,0.000000,0.000000,107,750,0.042683,0.200000,0.462373,1
43,107,0,0.000000,0.000000,107,881,0.231085,0.200000,0.311290,4
44,107,0,0.000000,0.000000,107,577,0.252603,0.200000,0.377137,3
45,107,0,0.000000,0.000000,107,498,0.078505,0.200000,0.391093,2
46,107,0,0.000000,0.000000,107,781,0.250217,0.200000,0.222471,2
47,107,0,0.000000,0.000000,107,344,0.004814,0.200000,0.215928,1
48,107,0,0.000000,0.000000,107,69,0.347021,0.200000,0.233366,1
49,107,0,0.000000,0.000000,107,197,0.226285,0.200000,0.442246,4
50,107,0,0.000000,0.000000,107,707,0.322446,0.200000,0.244010,4
51,107,0,0.000000,0.000000,107,447,0.071448,0.200000,0.493876,2
52,107,0,0.000000,0.000000,107,511,0.315008,0.200000,0.366969,1
53,107,0,0.000000,0.000000,107,45,0.282258,0.200000,0.328170,1
54,107,0,0.000000,0.000000,107,317,0.155930,0.200000,0.237729,1
55,107,0,0.000000,0.000000,107,362,0.101842,0.200000,0.313163,3
56,107,0,0.000000,0.000000,107,427,0.172972,0.200000,0.248441,2
57,107,0,0.000000,0.000000,107,986,0.082699,0.200000,0.380122,4
58,107,0,0.000000,0.000000,107,234,0.157374,0.200000,0.378326,1
59,107,0,0.000000,0.000000,107,404,0.347911,0.200000,0.318914,4
60,107,0,0.000000,0.000000,107,788,0.111447,0.200000,0.311742,4
61,107,0,0.000000,0.000000,107,861,0.065325,0.200000,0.299094,3
62,107,0,0.000000,0.000000,107,729,0.140906,0.200000,0.287883,2
63,107,0,0.000000,0.000000,107,814,0.295057,0.200000,0.410850,1
64,107,0,0.000000,0.000000,107,402,0.139113,0.200000,0.289978,1
65,107,0,0.000000,0.000000,107,213,0.141801,0.200000,0.248433,4
66,107,0,0.000000,0.000000,107,400,0.039241,0.200000,0.478326,2
67,107,0,0.000000,0.000000,107,765,0.141611,0.200000,0.427501,2
68,107,0,0.000000,0.000000,107,299,0.095788,0.200000,0.224876,1
69,107,0,0.000000,0.000000,107,243,0.254907,0.200000,0.302539,2
70,107,0,0.000000,0.000000,107,407,0.087864,0.200000,0.482500,3
71,107,0,0.000000,0.000000,107,751,0.012745,0.200000,0.467075,2
72,107,0,0.000000,0.000000,107,618,0.034887,0.200000,0.365756,4
73,107,0,0.000000,0.000000,107,550,0.315406,0.200000,0.275198,2
74,107,0,0.000000,0.000000,107,205,0.055185,0.200000,0.479521,1
